exit_time,pnl,entry_count,avg_leverage
2025-05-02 11:50:00+00:00,-442.9204172024405,1,2.0
2025-05-02 13:50:00+00:00,145.91279207096625,2,2.5
2025-05-02 15:25:00+00:00,-473.9132868370703,1,2.0
2025-05-02 17:05:00+00:00,-145.01784426984344,1,2.0
2025-05-02 19:05:00+00:00,-390.52777780906405,1,2.0
2025-05-02 20:40:00+00:00,-97.4043979043788,1,2.0
2025-05-02 23:20:00+00:00,-136.93906815005914,1,2.0
2025-05-05 11:55:00+00:00,-348.2929153285148,1,2.0
2025-05-05 15:35:00+00:00,653.3855492776341,2,2.5
2025-05-05 17:10:00+00:00,-273.72407052819324,1,2.0
2025-05-05 19:00:00+00:00,-274.8062459914075,1,2.0
2025-05-05 23:50:00+00:00,-208.76240396199958,1,2.0
